github_name,p1,p2,p3,p4
hduongtrong,3,3,2,3
CenzhuoYao,3,2,3,3
pigriver,2,2,2,3
HaoLyuKrystal,2,2,2,3
petersujan,2,2,2,3
boyinggong,3,3,2,3
lynnzhao92,2,3,2,3
MengfeiJiang,3,3,2,3
lizhua,3,2,2,3
sicihuang,2,2,2,3
wyshi,2,2,2,3
ye-shi,3,2,2,3
jcpalumbo,3,2,2,3
HongfeiZhao,3,2,2,3
jJasonWang,2,3,2,3
mingyungkim,3,2,2,3
alannaiverson,2,2,3,3
togawa28,2,1,3,3
dylandaniels,3,3,2,3
shamindras,3,2,3,3
richiefeng,2,2,2,3
gyc2432968,2,2,2,3
harryh1993,3,2,2,3
pttzty,3,3,2,3
z357412526,2,2,3,3
lichenzhi,3,3,2,3
lunadadada,3,2,2,3
changsiyao,3,2,2,3
YZhouEntheos,2,3,2,3
FengshiNiu,2,2,2,3
Chenyu-Renee,2,2,2,3
doutib,2,2,2,3
aksam-ahmad,2,2,2,3
